t,x,y,theta ,vl,vr
0,1.3,0,0,0,0
0.2,1.261778268,2.32198E-07,-0.016597948,-0.343544346,-0.302470987
0.4,1.197069319,0.001072937,-0.032097329,-0.404272546,-0.398272875
0.6,1.116836011,0.003648031,-0.034361356,-0.414159436,-0.461157271
0.8,1.02927061,0.006657195,-0.016626324,-0.368405858,-0.471578642
1,0.944745739,0.008052183,0.022306802,-0.304957362,-0.460878088
1.2,0.866726142,0.006312319,0.081144812,-0.170028996,-0.377060977
1.4,0.809413156,0.001780791,0.159270088,-0.027450958,-0.259676508
1.6,0.777653948,-0.002963696,0.246902371,0.09670706,-0.14012151
1.8,0.770391862,-0.004376349,0.336271642,0.222200879,-0.008647809
2,0.788356686,0.002085526,0.423384355,0.371527721,0.159201994
2.2,0.835298089,0.02319252,0.503507271,0.493252923,0.306655868
2.4,0.903813943,0.061274053,0.573921253,0.590739026,0.414120187
2.6,0.985947348,0.115453527,0.640569872,0.656370108,0.47554575
2.8,1.073850875,0.182619874,0.708805479,0.723978511,0.565791291
3,1.168056734,0.266117928,0.768498769,0.75393875,0.657371934
3.2,1.264939654,0.363769207,0.804939077,0.771710034,0.755303155
3.4,1.365269354,0.472955454,0.811130352,0.781975388,0.845810456
3.6,1.471418769,0.589213381,0.787041648,0.797893868,0.93011897
3.8,1.587827611,0.709009025,0.737145382,0.778314763,0.963259713
4,1.712491143,0.823397415,0.667354835,0.744295924,0.971215071
4.2,1.844006232,0.927276191,0.581724969,0.721824628,0.965305656
4.4,1.982580515,1.018412539,0.489845335,0.705485974,0.953663249
4.6,2.1269426,1.09543917,0.396193534,0.690784862,0.940317564
4.8,2.275335028,1.157583725,0.30203025,0.666289342,0.91539512
5,2.42405788,1.203910587,0.20802807,0.636146365,0.891346156
5.2,2.570892468,1.234785023,0.111726262,0.614290974,0.859013535
5.4,2.714554509,1.250582517,0.019378125,0.596769996,0.830436186
5.6,2.854401555,1.252770201,-0.068797795,0.583708352,0.80619698
5.8,2.99015165,1.242707143,-0.152755768,0.572326429,0.777376209
6,3.120677993,1.221723629,-0.230133043,0.559897333,0.744558491
6.2,3.244938478,1.191595097,-0.299816499,0.543045926,0.708162525
6.4,3.361934916,1.154370608,-0.362124649,0.52039989,0.667633836
6.6,3.470760334,1.112127886,-0.417684629,0.495993392,0.626814003
6.8,3.571399383,1.066525871,-0.467050897,0.474318869,0.589992083
7,3.664696346,1.018621034,-0.510701166,0.456261816,0.55794916
7.2,3.751656984,0.969113954,-0.549073749,0.440474491,0.529279208
7.4,3.833047599,0.918604313,-0.582584963,0.425610601,0.502589603
7.6,3.909397134,0.867661641,-0.611633643,0.411097998,0.477262983
7.8,3.981124405,0.816791596,-0.636601561,0.396767685,0.453084981
8,4.048599009,0.76641801,-0.657853371,0.382677625,0.43006929
8.2,4.112172788,0.716873533,-0.675737018,0.368877636,0.408223916
8.4,4.172175635,0.668413216,-0.690584671,0.355443727,0.387585443
8.6,4.22891846,0.621222137,-0.702713621,0.342435545,0.368174511
8.8,4.282690867,0.575426834,-0.712426438,0.329900011,0.349996766
9,4.333760277,0.531105324,-0.720010119,0.317878147,0.333047038
9.2,4.382372636,0.488295425,-0.725734229,0.306373926,0.317277096
9.4,4.428748916,0.447006347,-0.729848632,0.295342,0.30258232
9.6,4.473080026,0.407231303,-0.732580829,0.284650987,0.288763722
9.8,4.515516303,0.368964434,-0.734132804,0.274093095,0.275537905
10,4.556158333,0.332215818,-0.734678016,0.263441194,0.262599947
10.2,4.595056321,0.297017757,-0.734360564,0.252517844,0.249710049
10.4,4.632220561,0.263419836,-0.733301019,0.241229232,0.23674475
10.6,4.667637705,0.23147739,-0.731608761,0.229576478,0.223699136
10.8,4.701287471,0.20123831,-0.729390896,0.217618462,0.210631731
11,4.733152286,0.172735686,-0.726754394,0.205487803,0.197688509
11.2,4.763230031,0.145977833,-0.723811264,0.193375363,0.18509033
11.4,4.791544804,0.120940249,-0.720684837,0.181487007,0.173057556
11.6,4.818148812,0.097565541,-0.717503912,0.169989,0.161746297
11.8,4.843115598,0.075771436,-0.714393458,0.158916274,0.15117054